periodo,seccion,indicador,entidad,valor
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados (criterio SBS)* / Créditos Directos,B. Ripley,2.88
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados (criterio SBS)* / Créditos Directos,Alfin Banco,2.63
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados (criterio SBS)* / Créditos Directos,B. ICBC,1.17
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados (criterio SBS)* / Créditos Directos,Bank of China,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados (criterio SBS)* / Créditos Directos,B. BCI Perú,0.71
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados (criterio SBS)* / Créditos Directos,Compartamos Banco,4.33
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados (criterio SBS)* / Créditos Directos,Santander Consumer Bank,3.1
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. BBVA Perú,2.6646280169955903
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,BANCOM,3.904666662316659
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. De Crédito del Perú (con sucursales en el exterior),2.4793417294644065
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. Pichincha,4.761550583947783
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. Interamericano de Finanzas,3.149480416898355
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,Scotiabank Perú,3.316265944041061
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,Citibank,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,Interbank,2.1706544296811647
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,Mibanco,2.650826611628049
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. GNB,1.9408186753313406
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. Falabella Perú,2.214832217696674
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. Santander Perú,2.057789514059122
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. Ripley,2.578961629853303
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,Alfin Banco,2.4222216794741356
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. ICBC,1.1737249848129907
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,Bank of China,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. BCI Perú,0.7062326045630588
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,Compartamos Banco,2.552997945588184
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,Santander Consumer Bank,2.8906781596643945
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. BBVA Perú,1.84
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,BANCOM,2.99
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. De Crédito del Perú (con sucursales en el exterior),1.37
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Pichincha,2.32
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Interamericano de Finanzas,1.32
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Scotiabank Perú,4.21
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Citibank,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Interbank,0.86
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Mibanco,0.97
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. GNB,0.58
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Falabella Perú,1.1
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Santander Perú,2.5500000000000003
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Ripley,1.8
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Alfin Banco,0.87
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. ICBC,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Bank of China,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. BCI Perú,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Compartamos Banco,0.12
2026-03,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Santander Consumer Bank,5.65
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. BBVA Perú,3.21
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,BANCOM,3.77
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. De Crédito del Perú (con sucursales en el exterior),3.43
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. Pichincha,5.03
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. Interamericano de Finanzas,3.48
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,Scotiabank Perú,3.85
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,Citibank,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,Interbank,2.65
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,Mibanco,4.0600000000000005
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. GNB,2.16
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. Falabella Perú,2.47
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. Santander Perú,1.61
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. Ripley,2.88
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,Alfin Banco,2.74
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. ICBC,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,Bank of China,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. BCI Perú,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,Compartamos Banco,4.33
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,Santander Consumer Bank,3.1
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. BBVA Perú,2.17
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,BANCOM,6.38
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. De Crédito del Perú (con sucursales en el exterior),1.57
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. Pichincha,4.4
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,B. Interamericano de Finanzas,2.92
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,Scotiabank Perú,3.4
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,Citibank,0.0
2026-03,CALIDAD DE ACTIVOS,Créditos Atrasados ME (criterio SBS)* / Créditos Directos ME,Interbank,1.35
