periodo,tipo_entidad,entidad,clasificadora,rating_letra,rating_ordinal
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC CENCOSUD SCOTIA,Apoyo y Asociados Internacionales,B+,7.0
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC CENCOSUD SCOTIA,Moodys Local PE Clasificadora de Riesgo,B,6.0
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC CREDINKA,Class y Asociados S.A.,B,6.0
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC CREDINKA,PCR (Pacific Credit Rating),B,6.0
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC INCASUR,Apoyo y Asociados Internacionales,C,3.0
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC INCASUR,Class y Asociados S.A.,C,3.0
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC LOS ANDES,Class y Asociados S.A.,B-,5.0
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC LOS ANDES,Microrate,B-,5.0
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC PRYMERA,Apoyo y Asociados Internacionales,C,3.0
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC PRYMERA,Class y Asociados S.A.,C,3.0
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC Raíz en Liquida,Microrate,C-,2.0
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC Raíz en Liquida,Moodys Local PE Clasificadora de Riesgo,C-,2.0
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC SIPAN LIQUID.,Class y Asociados S.A.,C,3.0
2014 - MARZO,Caja Rural de Ahorro y Crédito,CRAC SIPAN LIQUID.,Moodys Local PE Clasificadora de Riesgo,C-,2.0
2014 - MARZO,Banco,DEUTSCHE BANK PERU,Apoyo y Asociados Internacionales,A+,10.0
2014 - MARZO,Banco,DEUTSCHE BANK PERU,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - MARZO,Empresa de Créditos,EDPYME RAIZ,Class y Asociados S.A.,B-,5.0
2014 - MARZO,Financiera,FINANC. CREDINKA,Class y Asociados S.A.,C+,4.0
2014 - MARZO,Financiera,FINANC. CREDINKA,Moodys Local PE Clasificadora de Riesgo,C,3.0
2014 - MARZO,Financiera,FINANC. PROEMPRESA,Class y Asociados S.A.,B-,5.0
2014 - MARZO,Financiera,FINANC. PROEMPRESA,Moodys Local PE Clasificadora de Riesgo,C+,4.0
2014 - MARZO,Financiera,FINANCIERA CONFIANZA,Class y Asociados S.A.,B+,7.0
2014 - MARZO,Financiera,FINANCIERA CONFIANZA,Moodys Local PE Clasificadora de Riesgo,B+,7.0
2014 - MARZO,Financiera,FINANCIERA EDYFICAR,Apoyo y Asociados Internacionales,A,9.0
2014 - MARZO,Financiera,FINANCIERA EDYFICAR,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2014 - MARZO,Financiera,FINANCIERA QAPAQ,Class y Asociados S.A.,B+,7.0
2014 - MARZO,Financiera,FINANCIERA QAPAQ,PCR (Pacific Credit Rating),B+,7.0
2014 - MARZO,Financiera,FINANCIERA TFC EL,Class y Asociados S.A.,B-,5.0
2014 - MARZO,Financiera,FINANCIERA TFC EL,PCR (Pacific Credit Rating),B-,5.0
2014 - MARZO,Fondo,FONDO MIVIVIENDA,Class y Asociados S.A.,A+,10.0
2014 - MARZO,Banco,ICBC PERU BANK S.A.,Apoyo y Asociados Internacionales,A,9.0
2014 - MARZO,Banco,ICBC PERU BANK S.A.,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - MARZO,Financiera,INFINANCE XP S.A.,Apoyo y Asociados Internacionales,B,6.0
2014 - MARZO,Financiera,INFINANCE XP S.A.,Class y Asociados S.A.,B+,7.0
2014 - MARZO,Financiera,INFINANCE XP S.A.,Moodys Local PE Clasificadora de Riesgo,B,6.0
2014 - MARZO,Seguros,Insur,Class y Asociados S.A.,A,9.0
2014 - MARZO,Seguros,Insur,PCR (Pacific Credit Rating),A,9.0
2014 - MARZO,Banco,INTERBANK,Apoyo y Asociados Internacionales,A,9.0
2014 - MARZO,Banco,INTERBANK,Class y Asociados S.A.,A+,10.0
2014 - MARZO,Banco,INTERBANK,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - MARZO,Seguros,Interseguro,Class y Asociados S.A.,A+,10.0
2014 - MARZO,Seguros,Interseguro,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - MARZO,Seguros,La Positiva,Class y Asociados S.A.,A-,8.0
2014 - MARZO,Seguros,La Positiva,PCR (Pacific Credit Rating),A-,8.0
2014 - MARZO,Seguros,La Positiva Vida,Class y Asociados S.A.,A-,8.0
2014 - MARZO,Seguros,La Positiva Vida,PCR (Pacific Credit Rating),A-,8.0
2014 - MARZO,Seguros,Mapfre Perú,Class y Asociados S.A.,A,9.0
2014 - MARZO,Seguros,Mapfre Perú,PCR (Pacific Credit Rating),A+,10.0
2014 - MARZO,Seguros,Mapfre Peru (Abs),Class y Asociados S.A.,A,9.0
2014 - MARZO,Seguros,Mapfre Peru (Abs),PCR (Pacific Credit Rating),A,9.0
2014 - MARZO,Banco,MIBANCO,Class y Asociados S.A.,A,9.0
2014 - MARZO,Banco,MIBANCO,PCR (Pacific Credit Rating),A-,8.0
2014 - MARZO,Banco,NACION,Apoyo y Asociados Internacionales,A,9.0
2014 - MARZO,Banco,NACION,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - MARZO,Seguros,Pacífico Seguros,Apoyo y Asociados Internacionales,A+,10.0
2014 - MARZO,Seguros,Pacífico Seguros,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2014 - MARZO,Seguros,Pacifico Seguros-Abs,Apoyo y Asociados Internacionales,A,9.0
2014 - MARZO,Seguros,Pacifico Seguros-Abs,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - MARZO,Seguros,Protecta,Class y Asociados S.A.,A-,8.0
2014 - MARZO,Seguros,Protecta,PCR (Pacific Credit Rating),A,9.0
2014 - MARZO,Seguros,Rigel Peru EL,Apoyo y Asociados Internacionales,B+,7.0
2014 - MARZO,Seguros,Rigel Peru EL,Class y Asociados S.A.,B+,7.0
2014 - MARZO,Seguros,Rímac Seguros,Apoyo y Asociados Internacionales,A+,10.0
2014 - MARZO,Seguros,Rímac Seguros,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2014 - MARZO,Banco,SANTANDER PERU,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - MARZO,Banco,SANTANDER PERU,PCR (Pacific Credit Rating),A,9.0
2014 - MARZO,Banco,SCOTIABANK PERU,Apoyo y Asociados Internacionales,A+,10.0
2014 - MARZO,Banco,SCOTIABANK PERU,Class y Asociados S.A.,A+,10.0
2014 - MARZO,Seguros,SEGUROS SURA,Class y Asociados S.A.,A,9.0
2014 - MARZO,Seguros,SEGUROS SURA,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - SEPTIEMBRE,Empresa de Créditos,ACCESO CREDITICIO,Moodys Local PE Clasificadora de Riesgo,C,3.0
2014 - SEPTIEMBRE,Banco,AGROBANCO,Apoyo y Asociados Internacionales,A-,8.0
2014 - SEPTIEMBRE,Banco,AGROBANCO,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2014 - SEPTIEMBRE,Banco,ALFIN BANCO,Class y Asociados S.A.,B,6.0
2014 - SEPTIEMBRE,Banco,ALFIN BANCO,Moodys Local PE Clasificadora de Riesgo,B,6.0
2014 - SEPTIEMBRE,Financiera,AMERIKA FINANC. EL,Class y Asociados S.A.,B+,7.0
2014 - SEPTIEMBRE,Financiera,AMERIKA FINANC. EL,Moodys Local PE Clasificadora de Riesgo,B-,5.0
2014 - SEPTIEMBRE,Seguros,AuguStar Seguros,Apoyo y Asociados Internacionales,A-,8.0
2014 - SEPTIEMBRE,Seguros,AuguStar Seguros,PCR (Pacific Credit Rating),A-,8.0
2014 - SEPTIEMBRE,Banco,BANBIF,Class y Asociados S.A.,A+,10.0
2014 - SEPTIEMBRE,Banco,BANBIF,PCR (Pacific Credit Rating),A+,10.0
2014 - SEPTIEMBRE,Banco,BANCO DE CREDITO,Apoyo y Asociados Internacionales,A+,10.0
2014 - SEPTIEMBRE,Banco,BANCO DE CREDITO,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2014 - SEPTIEMBRE,Banco,BANCO EFECTIVA,Apoyo y Asociados Internacionales,B+,7.0
2014 - SEPTIEMBRE,Banco,BANCO EFECTIVA,Class y Asociados S.A.,B+,7.0
2014 - SEPTIEMBRE,Banco,BANCO FALABELLA,Apoyo y Asociados Internacionales,A-,8.0
2014 - SEPTIEMBRE,Banco,BANCO FALABELLA,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2014 - SEPTIEMBRE,Banco,BANCO GNB,Class y Asociados S.A.,A,9.0
2014 - SEPTIEMBRE,Banco,BANCO GNB,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2014 - SEPTIEMBRE,Banco,BANCO PICHINCHA,Class y Asociados S.A.,A-,8.0
2014 - SEPTIEMBRE,Banco,BANCO PICHINCHA,PCR (Pacific Credit Rating),A,9.0
2014 - SEPTIEMBRE,Banco,BANCO RIPLEY,Apoyo y Asociados Internacionales,B+,7.0
2014 - SEPTIEMBRE,Banco,BANCO RIPLEY,Class y Asociados S.A.,A-,8.0
2014 - SEPTIEMBRE,Banco,BANCOM,Moodys Local PE Clasificadora de Riesgo,B,6.0
2014 - SEPTIEMBRE,Banco,BANCOM,PCR (Pacific Credit Rating),B+,7.0
2014 - SEPTIEMBRE,Banco,BBVA,Apoyo y Asociados Internacionales,A+,10.0
2014 - SEPTIEMBRE,Banco,BBVA,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2014 - SEPTIEMBRE,Banco,BBVA,PCR (Pacific Credit Rating),A+,10.0
2014 - SEPTIEMBRE,Banco,BN. SANTANDER CONS.,Apoyo y Asociados Internacionales,A,9.0
2014 - SEPTIEMBRE,Banco,BN. SANTANDER CONS.,Class y Asociados S.A.,A,9.0
2014 - SEPTIEMBRE,Seguros,BNP Paribas Cardif,Class y Asociados S.A.,A,9.0
2014 - SEPTIEMBRE,Seguros,BNP Paribas Cardif,PCR (Pacific Credit Rating),A,9.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CAJA LOS LIBERTADORE,Class y Asociados S.A.,D,0.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CAJA LOS LIBERTADORE,PCR (Pacific Credit Rating),D-,
2014 - SEPTIEMBRE,Seguros,Cesce,Class y Asociados S.A.,A,9.0
2014 - SEPTIEMBRE,Seguros,Cesce,PCR (Pacific Credit Rating),A,9.0
2014 - SEPTIEMBRE,Seguros,Chubb Perú,Apoyo y Asociados Internacionales,A,9.0
2014 - SEPTIEMBRE,Seguros,Chubb Perú,PCR (Pacific Credit Rating),A,9.0
2014 - SEPTIEMBRE,Banco,CITIBANK DEL PERU,Apoyo y Asociados Internacionales,A,9.0
2014 - SEPTIEMBRE,Banco,CITIBANK DEL PERU,PCR (Pacific Credit Rating),A+,10.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC AREQUIPA,Apoyo y Asociados Internacionales,B+,7.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC AREQUIPA,Moodys Local PE Clasificadora de Riesgo,B+,7.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC CUSCO,Class y Asociados S.A.,B,6.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC CUSCO,Moodys Local PE Clasificadora de Riesgo,B,6.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC DEL SANTA,Apoyo y Asociados Internacionales,D+,1.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC DEL SANTA,Class y Asociados S.A.,D+,1.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC HUANCAYO,Class y Asociados S.A.,B+,7.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC HUANCAYO,Moodys Local PE Clasificadora de Riesgo,B+,7.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC ICA,Microrate,C+,4.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC ICA,Moodys Local PE Clasificadora de Riesgo,C+,4.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC MAYNAS,Class y Asociados S.A.,C+,4.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC MAYNAS,PCR (Pacific Credit Rating),C+,4.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC PAITA,Class y Asociados S.A.,D+,1.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC PAITA,Microrate,D+,1.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC PIURA,Class y Asociados S.A.,B-,5.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC PIURA,Moodys Local PE Clasificadora de Riesgo,C+,4.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC SULLANA,Class y Asociados S.A.,B,6.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC SULLANA,Microrate,B-,5.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC SULLANA,Moodys Local PE Clasificadora de Riesgo,B-,5.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC TACNA,Class y Asociados S.A.,B-,5.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC TACNA,Moodys Local PE Clasificadora de Riesgo,B-,5.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC TRUJILLO,Class y Asociados S.A.,B,6.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC TRUJILLO,Moodys Local PE Clasificadora de Riesgo,B-,5.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMCP LIMA,Apoyo y Asociados Internacionales,C+,4.0
2014 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMCP LIMA,Class y Asociados S.A.,C+,4.0
2014 - SEPTIEMBRE,Banco,COFIDE,Apoyo y Asociados Internacionales,A,9.0
2014 - SEPTIEMBRE,Banco,COFIDE,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2014 - SEPTIEMBRE,Banco,COMPARTAMOS BANCO,Apoyo y Asociados Internacionales,B,6.0
2014 - SEPTIEMBRE,Banco,COMPARTAMOS BANCO,Class y Asociados S.A.,B,6.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CR SR LUREN EL,Class y Asociados S.A.,C-,2.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CR SR LUREN EL,PCR (Pacific Credit Rating),C-,2.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC CAJAMARCA,Class y Asociados S.A.,C,3.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC CAJAMARCA,PCR (Pacific Credit Rating),C-,2.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC CENCOSUD SCOTIA,Apoyo y Asociados Internacionales,B+,7.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC CENCOSUD SCOTIA,Moodys Local PE Clasificadora de Riesgo,B,6.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC CREDINKA,Class y Asociados S.A.,B,6.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC CREDINKA,PCR (Pacific Credit Rating),B,6.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC INCASUR,Apoyo y Asociados Internacionales,C,3.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC INCASUR,Class y Asociados S.A.,C,3.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC LOS ANDES,Class y Asociados S.A.,B-,5.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC LOS ANDES,Microrate,B-,5.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC PRYMERA,Apoyo y Asociados Internacionales,C,3.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC PRYMERA,Class y Asociados S.A.,C,3.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC Raíz en Liquida,Microrate,C-,2.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC Raíz en Liquida,Moodys Local PE Clasificadora de Riesgo,C-,2.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC SIPAN LIQUID.,Class y Asociados S.A.,C-,2.0
2014 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC SIPAN LIQUID.,Moodys Local PE Clasificadora de Riesgo,C-,2.0
2014 - SEPTIEMBRE,Banco,DEUTSCHE BANK PERU,Apoyo y Asociados Internacionales,A+,10.0
2014 - SEPTIEMBRE,Banco,DEUTSCHE BANK PERU,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - SEPTIEMBRE,Empresa de Créditos,EDPYME RAIZ,Class y Asociados S.A.,B-,5.0
2014 - SEPTIEMBRE,Financiera,FINANC. CREDINKA,Class y Asociados S.A.,C+,4.0
2014 - SEPTIEMBRE,Financiera,FINANC. CREDINKA,Moodys Local PE Clasificadora de Riesgo,C,3.0
2014 - SEPTIEMBRE,Financiera,FINANC. PROEMPRESA,Apoyo y Asociados Internacionales,B-,5.0
2014 - SEPTIEMBRE,Financiera,FINANC. PROEMPRESA,Class y Asociados S.A.,B-,5.0
2014 - SEPTIEMBRE,Financiera,FINANC. PROEMPRESA,Moodys Local PE Clasificadora de Riesgo,C+,4.0
2014 - SEPTIEMBRE,Financiera,FINANCIERA CONFIANZA,Class y Asociados S.A.,B+,7.0
2014 - SEPTIEMBRE,Financiera,FINANCIERA CONFIANZA,Moodys Local PE Clasificadora de Riesgo,B+,7.0
2014 - SEPTIEMBRE,Financiera,FINANCIERA EDYFICAR,Apoyo y Asociados Internacionales,A,9.0
2014 - SEPTIEMBRE,Financiera,FINANCIERA EDYFICAR,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2014 - SEPTIEMBRE,Financiera,FINANCIERA QAPAQ,Class y Asociados S.A.,B+,7.0
2014 - SEPTIEMBRE,Financiera,FINANCIERA QAPAQ,PCR (Pacific Credit Rating),B+,7.0
2014 - SEPTIEMBRE,Financiera,FINANCIERA TFC EL,Class y Asociados S.A.,B-,5.0
2014 - SEPTIEMBRE,Financiera,FINANCIERA TFC EL,PCR (Pacific Credit Rating),B-,5.0
2014 - SEPTIEMBRE,Fondo,FONDO MIVIVIENDA,Class y Asociados S.A.,A+,10.0
2014 - SEPTIEMBRE,Banco,ICBC PERU BANK S.A.,Apoyo y Asociados Internacionales,A,9.0
2014 - SEPTIEMBRE,Banco,ICBC PERU BANK S.A.,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - SEPTIEMBRE,Financiera,INFINANCE XP S.A.,Apoyo y Asociados Internacionales,B,6.0
2014 - SEPTIEMBRE,Financiera,INFINANCE XP S.A.,Class y Asociados S.A.,B+,7.0
2014 - SEPTIEMBRE,Financiera,INFINANCE XP S.A.,Moodys Local PE Clasificadora de Riesgo,B,6.0
2014 - SEPTIEMBRE,Seguros,Insur,Class y Asociados S.A.,A,9.0
2014 - SEPTIEMBRE,Seguros,Insur,PCR (Pacific Credit Rating),A,9.0
2014 - SEPTIEMBRE,Banco,INTERBANK,Apoyo y Asociados Internacionales,A,9.0
2014 - SEPTIEMBRE,Banco,INTERBANK,Class y Asociados S.A.,A+,10.0
2014 - SEPTIEMBRE,Banco,INTERBANK,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - SEPTIEMBRE,Seguros,Interseguro,Class y Asociados S.A.,A+,10.0
2014 - SEPTIEMBRE,Seguros,Interseguro,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - SEPTIEMBRE,Seguros,La Positiva,Class y Asociados S.A.,A-,8.0
2014 - SEPTIEMBRE,Seguros,La Positiva,PCR (Pacific Credit Rating),A-,8.0
2014 - SEPTIEMBRE,Seguros,La Positiva Vida,Class y Asociados S.A.,A-,8.0
2014 - SEPTIEMBRE,Seguros,La Positiva Vida,PCR (Pacific Credit Rating),A-,8.0
2014 - SEPTIEMBRE,Seguros,Mapfre Perú,Class y Asociados S.A.,A,9.0
2014 - SEPTIEMBRE,Seguros,Mapfre Perú,PCR (Pacific Credit Rating),A+,10.0
2014 - SEPTIEMBRE,Seguros,Mapfre Peru (Abs),Class y Asociados S.A.,A,9.0
2014 - SEPTIEMBRE,Seguros,Mapfre Peru (Abs),PCR (Pacific Credit Rating),A,9.0
2014 - SEPTIEMBRE,Banco,MIBANCO,Class y Asociados S.A.,A,9.0
2014 - SEPTIEMBRE,Banco,MIBANCO,PCR (Pacific Credit Rating),A-,8.0
2014 - SEPTIEMBRE,Banco,NACION,Apoyo y Asociados Internacionales,A,9.0
2014 - SEPTIEMBRE,Banco,NACION,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - SEPTIEMBRE,Seguros,Pacífico Seguros,Apoyo y Asociados Internacionales,A+,10.0
2014 - SEPTIEMBRE,Seguros,Pacífico Seguros,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2014 - SEPTIEMBRE,Seguros,Pacifico Seguros-Abs,Apoyo y Asociados Internacionales,A,9.0
2014 - SEPTIEMBRE,Seguros,Pacifico Seguros-Abs,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - SEPTIEMBRE,Seguros,Protecta,Class y Asociados S.A.,A-,8.0
2014 - SEPTIEMBRE,Seguros,Protecta,PCR (Pacific Credit Rating),A,9.0
2014 - SEPTIEMBRE,Seguros,Quálitas,Class y Asociados S.A.,B+,7.0
2014 - SEPTIEMBRE,Seguros,Quálitas,PCR (Pacific Credit Rating),A-,8.0
2014 - SEPTIEMBRE,Seguros,Rigel Peru EL,Apoyo y Asociados Internacionales,B+,7.0
2014 - SEPTIEMBRE,Seguros,Rigel Peru EL,Class y Asociados S.A.,B+,7.0
2014 - SEPTIEMBRE,Seguros,Rímac Seguros,Apoyo y Asociados Internacionales,A+,10.0
2014 - SEPTIEMBRE,Seguros,Rímac Seguros,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2014 - SEPTIEMBRE,Banco,SANTANDER PERU,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - SEPTIEMBRE,Banco,SANTANDER PERU,PCR (Pacific Credit Rating),A,9.0
2014 - SEPTIEMBRE,Banco,SCOTIABANK PERU,Apoyo y Asociados Internacionales,A+,10.0
2014 - SEPTIEMBRE,Banco,SCOTIABANK PERU,Class y Asociados S.A.,A+,10.0
2014 - SEPTIEMBRE,Seguros,SEGUROS SURA,Class y Asociados S.A.,A,9.0
2014 - SEPTIEMBRE,Seguros,SEGUROS SURA,Moodys Local PE Clasificadora de Riesgo,A,9.0
2014 - SEPTIEMBRE,Seguros,Vivir Seguros,Class y Asociados S.A.,A-,8.0
2014 - SEPTIEMBRE,Seguros,Vivir Seguros,PCR (Pacific Credit Rating),A-,8.0
2015 - MARZO,Empresa de Créditos,ACCESO CREDITICIO,Moodys Local PE Clasificadora de Riesgo,C,3.0
2015 - MARZO,Banco,AGROBANCO,Apoyo y Asociados Internacionales,A-,8.0
2015 - MARZO,Banco,AGROBANCO,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2015 - MARZO,Banco,ALFIN BANCO,Class y Asociados S.A.,B,6.0
2015 - MARZO,Banco,ALFIN BANCO,Moodys Local PE Clasificadora de Riesgo,B,6.0
2015 - MARZO,Financiera,AMERIKA FINANC. EL,Class y Asociados S.A.,B+,7.0
2015 - MARZO,Financiera,AMERIKA FINANC. EL,Moodys Local PE Clasificadora de Riesgo,B-,5.0
2015 - MARZO,Seguros,AuguStar Seguros,Apoyo y Asociados Internacionales,A-,8.0
2015 - MARZO,Seguros,AuguStar Seguros,PCR (Pacific Credit Rating),A-,8.0
2015 - MARZO,Banco,BANBIF,Class y Asociados S.A.,A+,10.0
2015 - MARZO,Banco,BANBIF,PCR (Pacific Credit Rating),A+,10.0
2015 - MARZO,Banco,BANCO DE CREDITO,Apoyo y Asociados Internacionales,A+,10.0
2015 - MARZO,Banco,BANCO DE CREDITO,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2015 - MARZO,Banco,BANCO EFECTIVA,Apoyo y Asociados Internacionales,B+,7.0
2015 - MARZO,Banco,BANCO EFECTIVA,Class y Asociados S.A.,B+,7.0
2015 - MARZO,Banco,BANCO FALABELLA,Apoyo y Asociados Internacionales,A-,8.0
2015 - MARZO,Banco,BANCO FALABELLA,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2015 - MARZO,Banco,BANCO GNB,Class y Asociados S.A.,A,9.0
2015 - MARZO,Banco,BANCO GNB,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2015 - MARZO,Banco,BANCO PICHINCHA,Class y Asociados S.A.,A-,8.0
2015 - MARZO,Banco,BANCO PICHINCHA,PCR (Pacific Credit Rating),A,9.0
2015 - MARZO,Banco,BANCO RIPLEY,Apoyo y Asociados Internacionales,B+,7.0
2015 - MARZO,Banco,BANCO RIPLEY,Class y Asociados S.A.,A-,8.0
2015 - MARZO,Banco,BANCOM,Moodys Local PE Clasificadora de Riesgo,B,6.0
2015 - MARZO,Banco,BANCOM,PCR (Pacific Credit Rating),B+,7.0
2015 - MARZO,Banco,BBVA,Apoyo y Asociados Internacionales,A+,10.0
2015 - MARZO,Banco,BBVA,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2015 - MARZO,Banco,BBVA,PCR (Pacific Credit Rating),A+,10.0
2015 - MARZO,Banco,BN. SANTANDER CONS.,Apoyo y Asociados Internacionales,A,9.0
2015 - MARZO,Banco,BN. SANTANDER CONS.,Class y Asociados S.A.,A,9.0
2015 - MARZO,Seguros,BNP Paribas Cardif,Class y Asociados S.A.,A,9.0
2015 - MARZO,Seguros,BNP Paribas Cardif,PCR (Pacific Credit Rating),A,9.0
2015 - MARZO,Caja Rural de Ahorro y Crédito,CAJA LOS LIBERTADORE,Class y Asociados S.A.,D,0.0
2015 - MARZO,Caja Rural de Ahorro y Crédito,CAJA LOS LIBERTADORE,PCR (Pacific Credit Rating),D-,
2015 - MARZO,Seguros,Cesce,Class y Asociados S.A.,A,9.0
2015 - MARZO,Seguros,Cesce,PCR (Pacific Credit Rating),A,9.0
2015 - MARZO,Seguros,Chubb Perú,Apoyo y Asociados Internacionales,A,9.0
2015 - MARZO,Seguros,Chubb Perú,PCR (Pacific Credit Rating),A,9.0
2015 - MARZO,Banco,CITIBANK DEL PERU,Apoyo y Asociados Internacionales,A,9.0
2015 - MARZO,Banco,CITIBANK DEL PERU,PCR (Pacific Credit Rating),A+,10.0
2015 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC AREQUIPA,Apoyo y Asociados Internacionales,B+,7.0
2015 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC AREQUIPA,Moodys Local PE Clasificadora de Riesgo,B+,7.0
2015 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC CUSCO,Class y Asociados S.A.,B,6.0
2015 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC CUSCO,Moodys Local PE Clasificadora de Riesgo,B,6.0
