periodo,seccion,indicador,entidad,valor
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados (criterio SBS)* / Créditos Directos,B. ICBC,0.0
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Continental,1.85
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. De Comercio,2.28
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. De Crédito del Perú (con sucursales en el exterior),0.82
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Financiero,1.15
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Interamericano de Finanzas,1.73
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Scotiabank Perú (con Sucursales en el Exterior),0.52
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Citibank,0.53
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Interbank (con sucursales en el exterior),0.66
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Mibanco,0.95
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. GNB,0.76
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Falabella Perú,1.47
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Santander Perú,0.01
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Ripley,0.74
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Azteca Perú,0.2
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Deutsche Bank Perú,0.0
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Cencosud,1.64
2015-04,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. ICBC,0.0
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. Continental,2.29
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. De Comercio,2.57
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. De Crédito del Perú (con sucursales en el exterior),2.97
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. Financiero,3.36
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. Interamericano de Finanzas,1.39
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,Scotiabank Perú (con Sucursales en el Exterior),2.46
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,Citibank,2.24
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,Interbank (con sucursales en el exterior),2.25
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,Mibanco,6.16
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. GNB,1.46
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. Falabella Perú,3.64
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. Santander Perú,0.05
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. Ripley,3.59
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,B. Azteca Perú,10.49
2015-04,CALIDAD DE ACTIVOS,Créditos Atrasados MN (criterio SBS)* / Créditos Directos MN,Deutsche Bank Perú,0.0
